Cloth_type_color,visitors,sessions,duration,total_bounce_rate,total_carts,total_checkouts,total_conversion,total_orders_placed,total_pageviews,duration_numeric
t-shirt-purple,4,5,1m31s,0.4375,0,0,0.0,0,10,91.0
Trouser-olive,138,158,1m36.075949367s,0.5443,5,8,0.01898,3,547,63.075949367
t-shirt-yellow,163,173,1m15.531791907s,0.63005,3,2,0.00578,1,370,61.531791907
t-shirt-black,6,6,2m50.5s,0.4375,0,0,0.0,0,36,125.5
polo-white,13,23,3m14.826086956s,0.65217,0,0,0.0,0,72,181.826086956
Trouser-trouser,464,520,2m6.386538461s,0.55576,18,13,0.01153,6,1627,120.386538461
polo-black,580,630,1m19.469841269s,0.62222,15,11,0.00476,3,1744,61.469841269
t-shirt-black,114,122,1m45.327868852s,0.61475,5,2,0.01639,2,363,64.327868852
Sweatshirt-white,837,914,1m5.909190371s,0.57439,11,10,0.00328,3,2224,60.909190371
Sweatshirt-white,148,171,1m16.789473684s,0.69005,4,0,0.0,0,370,61.789473684
Jacket-silver,39,44,1m50.772727272s,0.47727,0,0,0.0,0,159,65.772727272
t-shirt-peach,26,28,34.071428571s,0.71428,1,0,0.0,0,61,2040.071428571
jeans-blue,23,25,1m45.44s,0.64,1,0,0.0,0,53,64.44
Trouser-black,889,976,1m52.057377049s,0.59221,34,26,0.01536,15,2886,65.057377049
t-shirt-brown,32,35,1m57.342857142s,0.68571,1,0,0.0,0,114,65.342857142
Trouser-navy,147,156,1m10.358974358s,0.65384,3,3,0.00641,1,374,61.358974358
t-shirt-white,27,27,1m33.407407407s,0.7037,1,0,0.0,0,74,63.407407407
Jacket-beige,792,863,1m45.767091541s,0.61645,13,4,0.00347,3,2293,64.767091541
Sweatshirt-olive,169,197,1m34.40609137s,0.65989,7,1,0.0,0,389,63.40609137
polo-white,185,198,1m18.388888888s,0.65151,2,0,0.0,0,540,61.388888888
polo-grey,4,5,2.2s,0.8,0,0,0.0,0,10,120.2
jeans-blue,668,769,1m58.45513654s,0.62678,18,9,0.0065,5,2281,65.45513654
Jacket-navy,830,892,1m45.78251121s,0.6547,11,2,0.00112,1,2252,64.78251121
polo-peach,226,252,1m23.182539682s,0.51587,6,7,0.00793,2,757,62.182539682
t-shirt-black,89,100,44.05s,0.74,4,2,0.01,1,162,2640.05
t-shirt-pink,30,31,45.064516129s,0.64516,0,0,0.0,0,71,2700.064516129
Jacket-grey,10,13,4.769230769s,0.76923,0,0,0.0,0,20,240.769230769
t-shirt-black,990,1122,1m27.475935828s,0.61853,39,20,0.00356,4,2508,62.475935828
Jacket-black,21,26,2m1.038461538s,0.57692,0,1,0.0,0,55,120.038461538
Sweatshirt-navy,46,48,6m16.270833333s,0.4375,3,4,0.02083,1,417,361.270833333
polo-petrol,213,229,2m3.506550218s,0.55895,2,2,0.00873,2,758,120.506550218
t-shirt-navy,22,29,2m21.275862068s,0.55172,1,0,0.0,0,66,122.275862068
Trouser-navy,1719,1871,31.459818043s,0.78544,10,2,0.00037,1,4261,1860.459818043
t-shirt-navy,1719,1871,1m56.639387308s,0.59912,50,26,0.00831,19,4541,65.639387308
Trouser-black,9,16,8m18.875s,0.4375,1,2,0.0,0,140,481.875
t-shirt-blue,82,94,1m51.223404255s,0.56382,5,4,0.02127,2,241,65.223404255
Sweatshirt-brown,4,5,1m9.5s,0.5,0,0,0.0,0,10,60.5
jeans-navy,844,1063,2m6.545625587s,0.55691,47,26,0.01034,11,3411,120.545625587
t-shirt-navy,106,119,2m35.521008403s,0.61344,7,7,0.0084,1,380,123.521008403
jeans-grey,480,532,1m35.02255639s,0.67293,15,9,0.00563,3,1457,63.02255639
polo-petrol,54,60,2m7.866666666s,0.5,3,0,0.0,0,201,120.866666666
polo-1,4,5,0s,0.84293,0,0,0.0,0,10,60.294545454
t-shirt-orange,8,11,4m44.636363636s,0.4375,0,0,0.0,0,44,244.636363636
Sweatshirt-black,1719,1871,54.85894547s,0.74493,30,12,0.0,0,3897,2940.6
polo-blue,401,436,1m54.96559633s,0.55275,7,5,0.00229,1,1313,65.96559633
t-shirt-blue,4,5,28m25s,0.4375,0,1,0.04761,1,34,1705.0
Jacket-yellow,25,27,1m23.259259259s,0.77777,1,0,0.0,0,61,62.259259259
t-shirt-green,227,246,1m54.430894308s,0.62601,8,5,0.01219,3,674,65.430894308
jeans-blue,96,105,55.485714285s,0.65714,0,1,0.0,0,247,2940.6
Sweatshirt-black,174,184,54.831521739s,0.71195,7,2,0.00543,1,382,2940.6
t-shirt-white,306,333,1m8.498498498s,0.67867,3,3,0.009,3,740,60.498498498
t-shirt-petrol,9,10,3m46s,0.7,1,0,0.0,0,40,226.0
t-shirt-black,1150,1280,2m9.95078125s,0.51406,50,26,0.00781,10,4439,120.95078125
Trouser-navy,12,13,4m13.153846153s,0.61538,0,0,0.0,0,40,241.153846153
t-shirt-teal,16,16,1m53.5s,0.625,2,1,0.04761,1,37,65.5
jeans-navy,29,32,59.3125s,0.625,0,1,0.03125,1,81,2940.6
jeans-navy,18,19,4m21.631578947s,0.63157,1,1,0.0,0,63,242.631578947
Trouser-petrol,9,9,38.666666666s,0.55555,0,0,0.0,0,18,2280.666666666
t-shirt-navy,27,45,52.088888888s,0.84293,0,1,0.02222,1,79,2940.6
t-shirt-black,43,63,4m5.746031746s,0.5873,1,1,0.01587,1,206,240.746031746
polo-green,749,817,1m36.514075887s,0.52386,21,16,0.00734,6,2550,63.514075887
Sweatshirt-green,6,7,0s,0.84293,0,0,0.0,0,10,60.294545454
polo-black,166,207,1m29s,0.72463,3,0,0.0,0,405,89.0
Jacket-green,5,11,20.272727272s,0.81818,0,0,0.0,0,16,1200.272727272
jeans-grey,810,904,1m43.233407079s,0.63716,23,17,0.00774,7,2349,64.233407079
jeans-green,259,291,3m0.800687285s,0.63573,7,7,0.00687,2,847,180.800687285
t-shirt-rust,79,89,47.595505617s,0.67415,3,1,0.01123,1,199,2820.595505617
jeans-blue,131,151,2m16.17218543s,0.68874,7,3,0.00662,1,448,121.17218543
t-shirt-white,20,23,3m26.913043478s,0.60869,1,2,0.04761,2,70,182.913043478
t-shirt-purple,1347,1403,1m27.622238061s,0.56806,50,20,0.00356,5,3886,62.622238061
Sweatshirt-green,23,26,13.461538461s,0.6923,0,0,0.0,0,40,780.461538461
t-shirt-green,50,54,4m3.777777777s,0.44444,3,4,0.01851,1,354,240.777777777
t-shirt-purple,332,363,3m5.201101928s,0.53168,12,9,0.00826,3,1463,180.201101928
t-shirt-turq,225,273,1m33.637362637s,0.63003,12,9,0.00732,2,696,63.637362637
Sweatshirt-blue,1719,1871,1m29.765205091s,0.60631,50,23,0.0033,7,4541,62.765205091
t-shirt-pink,69,80,2m22.9s,0.63749,3,5,0.04761,4,207,122.9
jeans-navy,22,26,14.346153846s,0.76923,0,0,0.0,0,37,840.346153846
t-shirt-green,4,5,1m25.333333333s,0.66666,0,0,0.0,0,14,62.333333333
polo-mustard,5,5,2m6.8s,0.6,0,0,0.0,0,13,120.8
Trouser-purple,252,294,2m39.6292517s,0.5136,14,9,0.017,5,1250,123.6292517
polo-petrol,251,300,1m38.026666666s,0.65666,7,7,0.00666,2,769,63.026666666
t-shirt-white,1719,1871,37.77525s,0.7245,50,7,0.0,0,4541,2220.77525
polo-black,4,5,23s,0.4375,0,0,0.0,0,10,60.294545454
t-shirt-red,1719,1871,30.418350848s,0.76273,40,11,0.00161,4,4541,1800.418350848
Trouser-blue,54,66,2m7.409090909s,0.68181,0,1,0.01515,1,197,120.409090909
t-shirt-prune,13,16,32.9375s,0.75,0,0,0.0,0,24,1920.9375
t-shirt-black,101,107,2m15.68224299s,0.6542,3,4,0.01869,2,393,121.68224299
t-shirt-blue,17,17,1m8.588235294s,0.82352,0,1,0.0,0,24,60.588235294
Jacket-black,135,145,1m22.110344827s,0.55172,1,1,0.0,0,458,62.110344827
t-shirt-green,14,14,29.142857142s,0.57142,1,0,0.0,0,36,1740.142857142
Trouser-olive,756,777,51.117117117s,0.68339,40,3,0.00257,2,1406,2940.6
Trouser-olive,301,348,2m46.192528735s,0.52873,6,16,0.00862,3,1217,124.192528735
polo-purple,296,330,37.463636363s,0.8,2,0,0.0,0,529,2220.463636363
Trouser-black,45,83,41.891566265s,0.75903,2,0,0.0,0,180,2460.891566265
t-shirt-maroon,138,155,1m48.296774193s,0.61935,6,3,0.0,0,434,64.296774193
jeans-navy,102,106,1m22.490566037s,0.60377,3,2,0.00943,1,284,62.490566037
jeans-black,202,223,1m8.739910313s,0.69955,5,4,0.00896,2,485,60.739910313
Jacket-olive,115,145,1m48.131034482s,0.57241,3,2,0.01379,2,537,64.131034482
polo-maroon,231,266,3m3.315789473s,0.43984,11,15,0.01127,3,1181,180.315789473
Sweatshirt-navy,4,5,0s,0.84293,0,0,0.0,0,10,60.294545454
Trouser-beige,41,46,2m12.347826086s,0.71739,1,2,0.0,0,167,121.347826086
Jacket-navy,24,25,35.44s,0.64,0,0,0.0,0,42,2100.44
polo-blue,880,938,1m11.578891257s,0.64179,18,9,0.00533,5,2128,61.578891257
t-shirt-navy,73,81,58.950617283s,0.72839,1,2,0.02469,2,167,2940.6
Trouser-black,255,280,48.503571428s,0.73571,1,1,0.0,0,564,2880.503571428
polo-aqua,4,5,18s,0.4375,0,0,0.0,0,10,60.294545454
polo-pink,5,5,2m1.4s,0.6,0,0,0.0,0,10,120.4
t-shirt-maroon,9,9,7m51.111111111s,0.66666,0,0,0.0,0,53,425.111111111
Sweatshirt-maroon,4,5,1m15s,0.4375,0,0,0.0,0,10,75.0
jeans-blue,1177,1279,1m43.11336982s,0.62705,33,21,0.00469,6,3283,64.11336982
polo-blue,152,172,1m20.837209302s,0.68604,2,2,0.01162,2,371,62.837209302
Trouser-navy,47,107,2m37.317757009s,0.7757,1,1,0.00934,1,174,123.317757009
jeans-black,17,17,27s,0.64705,1,0,0.0,0,36,60.294545454
t-shirt-blue,62,68,57.867647058s,0.69117,2,0,0.0,0,155,2940.6
polo-beige,4,5,40.5s,0.75,0,0,0.0,0,10,2400.5
t-shirt-pink,22,23,15s,0.73913,0,0,0.0,0,36,60.294545454
t-shirt-green,28,28,10.607142857s,0.82142,1,0,0.0,0,36,600.607142857
polo-black,1719,1871,1m1.457627118s,0.70096,32,14,0.00211,7,4541,60.457627118
Trouser-maroon,272,295,1m36.989830508s,0.62372,6,3,0.00338,1,826,63.989830508
Jacket-beige,373,401,47.643391521s,0.62593,3,2,0.0,0,874,2820.643391521
t-shirt-navy,25,26,1m53.961538461s,0.57692,0,0,0.0,0,62,65.961538461
jeans-blue,159,170,31.111764705s,0.77647,2,2,0.0,0,250,1860.111764705
Trouser-olive,166,173,1m13.815028901s,0.69942,5,6,0.01156,2,386,61.815028901
t-shirt-white,565,604,2m20.046357615s,0.4735,32,26,0.0149,9,2326,122.046357615
Sweatshirt-green,12,17,2m7s,0.58823,0,1,0.0,0,47,127.0
Jacket-grey,567,653,1m40.186830015s,0.57274,10,6,0.00153,1,1813,64.186830015
t-shirt-purple,221,252,1m14.71031746s,0.62301,6,0,0.0,0,577,61.71031746
t-shirt-navy,406,424,48.306603773s,0.7665,5,1,0.0,0,778,2880.306603773
Jacket-navy,453,508,1m14.53543307s,0.62204,7,5,0.00393,2,1315,61.53543307
t-shirt-white,129,135,1m31.674074074s,0.68888,4,2,0.0,0,297,63.674074074
Sweatshirt-pink,15,17,25.352941176s,0.7647,1,0,0.0,0,37,1500.352941176
Trouser-black,256,300,2m12.183333333s,0.64333,4,10,0.01333,4,762,121.183333333
Trouser-beige,66,73,2m11.191780821s,0.68493,1,1,0.0,0,184,121.191780821
Trouser-petrol,135,148,37.979729729s,0.68243,4,1,0.00675,1,269,2220.979729729
polo-olive,82,90,2m22.266666666s,0.62222,1,1,0.0,0,228,122.266666666
polo-grey,1719,1871,1m10.491591709s,0.67149,50,26,0.00782,20,4541,61.491591709
Trouser-green,13,13,3m14.153846153s,0.46153,1,1,0.04761,1,55,181.153846153
t-shirt-white,23,24,4.375s,0.84293,1,0,0.0,0,26,240.375
polo-white,35,40,1m49.975s,0.5,3,2,0.025,1,148,64.975
t-shirt-purple,292,326,1m9.217791411s,0.6595,9,11,0.0184,6,833,60.294545454
Trouser-mustard,52,59,39.728813559s,0.61016,0,0,0.0,0,144,2340.728813559
Trouser-white,75,101,2m18.336633663s,0.60396,2,1,0.0,0,240,121.336633663
Jacket-pink,53,62,37.43548387s,0.56451,0,0,0.0,0,131,2220.43548387
polo-green,1462,1505,33.650498338s,0.78803,26,2,0.0,0,2349,1980.650498338
polo-black,488,523,1m29.780114722s,0.67686,23,9,0.00382,2,1302,62.780114722
polo-blue,425,475,1m45.414736842s,0.61263,17,13,0.00631,3,1462,64.414736842
Trouser-beige,801,896,2m44.030133928s,0.58928,33,24,0.00446,4,2955,124.030133928
polo-green,23,25,2m28.08s,0.64,2,1,0.0,0,96,122.08
polo-white,36,38,1m50.894736842s,0.71052,0,1,0.0,0,73,65.894736842
Jacket-maroon,1719,1871,1m30.943901556s,0.54831,50,26,0.00941,26,4541,63.943901556
polo-beige,297,325,2m0.249230769s,0.6123,11,7,0.00923,3,870,120.249230769
polo-beige,1719,1871,1m50.725617685s,0.55613,50,24,0.00476,11,4541,65.725617685
polo-navy,1285,1364,1m12.22947214s,0.58284,40,22,0.00513,7,4051,61.22947214
t-shirt-maroon,4,6,1m9.166666666s,0.66666,0,0,0.0,0,22,60.294545454
Sweatshirt-mustard,200,203,24.832512315s,0.77339,3,1,0.0,0,285,1440.832512315
jeans-blue,16,25,26.56s,0.84293,2,0,0.0,0,62,1560.56
Sweatshirt-green,12,16,13.125s,0.84293,1,0,0.0,0,20,780.125
jeans-grey,194,205,1m59.180487804s,0.61463,4,2,0.00487,1,514,65.180487804
Trouser-white,194,215,1m53.032558139s,0.64651,5,4,0.00465,1,505,65.032558139
t-shirt-maroon,88,92,54.369565217s,0.7826,0,0,0.0,0,137,2940.6
polo-turq,1134,1231,1m39.177904142s,0.56864,32,10,0.00243,3,4006,63.177904142
jeans-blue,85,86,28.732558139s,0.79069,3,2,0.0,0,159,1680.732558139
t-shirt-black,45,47,41.659574468s,0.70212,3,0,0.0,0,113,2460.659574468
Trouser-olive,112,129,2m12.217054263s,0.6124,2,3,0.00775,1,383,121.217054263
Sweatshirt-green,160,164,19.548780487s,0.84293,0,0,0.0,0,202,1140.548780487
polo-beige,33,41,1m15.682926829s,0.68292,0,0,0.0,0,133,61.682926829
t-shirt-white,505,517,1m44.005802707s,0.54738,29,20,0.00773,4,1681,64.005802707
polo-grey,61,77,1m42.87012987s,0.62337,3,0,0.0,0,244,64.87012987
Trouser-maroon,1318,1413,1m19.046709129s,0.63694,22,12,0.00283,4,3449,61.046709129
t-shirt-pink,83,92,2m54.119565217s,0.51086,6,10,0.04761,8,418,125.119565217
t-shirt-beige,115,138,2m39.442028985s,0.65942,5,10,0.02898,4,407,123.442028985
t-shirt-black,97,99,1m7.565656565s,0.59595,2,3,0.0101,1,265,60.565656565
jeans-white,18,19,3m16.842105263s,0.57894,0,1,0.0,0,95,181.842105263
t-shirt-black,301,353,1m52.345609065s,0.64305,10,13,0.00566,2,926,65.345609065
Trouser-green,1719,1871,1m24.709974853s,0.63202,50,26,0.00586,14,4541,62.709974853
polo-mustard,1639,1707,1m15.977738722s,0.60925,50,22,0.00527,9,4527,61.977738722
Sweatshirt-green,25,25,7.2s,0.84,0,0,0.0,0,34,420.2
polo-black,380,453,50.077262693s,0.73068,11,8,0.00441,2,933,2940.6
Trouser-maroon,1282,1334,44.428785607s,0.7841,41,3,0.00074,1,2038,2640.428785607
jeans-yellow,55,86,31.290697674s,0.77906,2,0,0.0,0,137,1860.290697674
jeans-blue,13,14,2m30.571428571s,0.4375,0,0,0.0,0,44,123.571428571
t-shirt-black,8,12,4m20.5s,0.58333,1,1,0.0,0,66,242.5
Jacket-yellow,829,939,2m1.962726304s,0.50372,30,18,0.00425,4,3174,120.962726304
Trouser-brown,523,553,1m10.792043399s,0.67992,6,6,0.00904,5,1262,61.792043399
Trouser-grey,29,29,26.034482758s,0.62068,0,0,0.0,0,53,1560.034482758
Trouser-coffee,154,171,2m3.49122807s,0.70175,7,2,0.01169,2,435,120.49122807
Trouser-brown,77,87,1m32.390804597s,0.74712,0,0,0.0,0,196,63.390804597
t-shirt-blue,223,269,2m22.918215613s,0.4375,13,16,0.01486,4,1170,122.918215613
Trouser-navy,569,619,54.697899838s,0.66235,16,5,0.00161,1,1331,2940.6
Trouser-beige,1719,1871,1m43.420268797s,0.57137,50,26,0.01089,26,4541,64.420268797
Jacket-brown,7,15,1.2s,0.84293,0,0,0.0,0,17,60.294545454
t-shirt-grey,21,22,2m46.272727272s,0.68181,1,0,0.0,0,55,124.272727272
t-shirt-green,1369,1448,1m10.468922651s,0.59323,30,7,0.00069,1,4247,61.468922651
Sweatshirt-olive,96,100,2m12.59s,0.6,4,2,0.01,1,307,121.59
Trouser-black,121,140,3m8.55s,0.5,7,5,0.01428,2,486,180.55
t-shirt-green,170,360,21.563888888s,0.84293,1,1,0.0,0,416,1260.563888888
t-shirt-blue,26,33,1m9.515151515s,0.66666,1,0,0.0,0,80,60.515151515
t-shirt-lilac,209,232,47.879310344s,0.76724,1,2,0.00431,1,394,2820.879310344
Trouser-green,135,173,2m11.838150289s,0.56069,5,4,0.01734,3,560,121.838150289
polo-green,5,6,3.333333333s,0.66666,0,0,0.0,0,10,180.333333333
jeans-grey,171,190,1m11.631578947s,0.6421,5,2,0.0,0,522,61.631578947
Jacket-red,4,5,5.666666666s,0.66666,0,0,0.0,0,10,300.666666666
jeans-blue,483,516,1m3.976744186s,0.63953,12,11,0.00387,2,1259,60.976744186
Trouser-olive,59,66,2m3.106060606s,0.54545,5,2,0.01515,1,203,120.106060606
polo-white,81,89,3m12.505617977s,0.5955,3,3,0.02247,2,279,181.505617977
polo-1,5,6,2m12s,0.66666,2,1,0.0,0,29,132.0
polo-white,320,347,2m3.314121037s,0.63688,8,6,0.00864,3,923,120.314121037
Jacket-camel,4,5,0s,0.84293,0,0,0.0,0,10,60.294545454
t-shirt-purple,156,178,1m48.63483146s,0.5955,7,6,0.02247,4,486,64.63483146
Trouser-olive,987,1100,1m5.294545454s,0.64181,20,10,0.00363,4,2792,60.294545454
Sweatshirt-white,40,43,2m47.837209302s,0.72093,2,1,0.02325,1,123,124.837209302
Trouser-yellow,75,81,1m12.827160493s,0.53086,2,0,0.0,0,288,61.827160493
t-shirt-lilac,37,41,45.292682926s,0.7317,1,0,0.0,0,90,2700.292682926
t-shirt-petrol,16,17,4m43.882352941s,0.52941,1,1,0.04761,1,98,244.882352941
Trouser-green,1112,1217,1m45.119145439s,0.65242,15,17,0.00575,7,2993,64.119145439
Sweatshirt-grey,152,178,1m45.910112359s,0.5955,5,7,0.01123,2,464,64.910112359
t-shirt-petrol,291,299,9.518394648s,0.84293,0,0,0.0,0,394,540.518394648
Sweatshirt-yellow,1049,1212,1m53.167491749s,0.56023,30,26,0.0066,8,3663,65.167491749
t-shirt-navy,77,85,2m55.611764705s,0.52941,5,5,0.01176,1,358,125.611764705
Sweatshirt-blue,14,14,2m41.214285714s,0.4375,0,1,0.0,0,47,124.214285714
Sweatshirt-black,120,140,1m19.414285714s,0.67857,1,1,0.0,0,303,61.414285714
Trouser-black,157,176,39.232954545s,0.73863,6,0,0.0,0,317,2340.232954545
Trouser-navy,116,121,48.719008264s,0.66115,6,2,0.0,0,271,2880.719008264
Trouser-purple,987,1027,39.834469328s,0.73125,50,3,0.00097,1,1859,2340.834469328
Sweatshirt-beige,73,84,57.333333333s,0.57142,1,0,0.0,0,189,2940.6
Trouser-brown,76,108,1m48.074074074s,0.54629,4,1,0.00925,1,329,64.074074074
polo-purple,363,385,39.929870129s,0.74805,7,0,0.0,0,633,2340.929870129
t-shirt-olive,10,11,41.454545454s,0.54545,0,1,0.0,0,26,2460.454545454
t-shirt-black,12,18,2m22.666666666s,0.5,0,2,0.04761,1,44,122.666666666
Sweatshirt-black,573,629,1m14.589825119s,0.69634,21,10,0.00635,4,1432,61.589825119
t-shirt-navy,1505,1576,1m31.481598984s,0.54822,49,15,0.00317,5,4541,63.481598984
Sweatshirt-white,60,69,1m38.492753623s,0.55072,1,1,0.01449,1,164,63.492753623
jeans-black,21,21,3m44.761904761s,0.4375,2,0,0.0,0,70,184.761904761
Trouser-pink,291,455,1m6.03076923s,0.7956,4,5,0.00659,3,824,60.294545454
t-shirt-rust,325,416,2m18.79326923s,0.53125,23,26,0.0024,1,1411,121.79326923
polo-rust,58,64,3m35.546875s,0.4375,2,2,0.0,0,193,183.546875
Trouser-beige,1719,1871,1m24.701158301s,0.59111,50,26,0.01042,26,4541,62.701158301
Trouser-maroon,43,47,1m57.680851063s,0.59574,2,0,0.0,0,154,65.680851063
polo-blue,11,11,6m1s,0.72727,0,1,0.04761,1,23,361.0
jeans-black,12,12,58.416666666s,0.66666,0,0,0.0,0,29,2940.6
Jacket-purple,22,27,3m5s,0.55555,0,0,0.0,0,111,185.0
polo-green,112,119,47.512605042s,0.61344,8,1,0.0,0,297,2820.512605042
Sweatshirt-yellow,178,203,1m28.620689655s,0.59113,5,7,0.0,0,526,62.620689655
t-shirt-peach,93,121,2m23.280991735s,0.57024,1,1,0.0,0,292,122.280991735
polo-purple,105,118,2m15.364406779s,0.50847,2,4,0.01694,2,453,121.364406779
Trouser-blue,30,39,4m10.256410256s,0.61538,3,2,0.0,0,249,241.256410256
polo-purple,26,47,31.574468085s,0.82978,1,0,0.0,0,82,1860.574468085
Trouser-navy,21,27,3m27s,0.66666,3,0,0.0,0,77,207.0
t-shirt-white,20,22,1m28.727272727s,0.63636,1,0,0.0,0,45,62.727272727
t-shirt-pink,4,5,2m48.75s,0.5,0,0,0.0,0,42,124.75
